Athlete,Time,School,Course,Year
Dianne Dollison,22:49.6,Grosse Pointe South,Hudson Mills,2019
Grace Miller,22:49.8,Grosse Pointe South,Hudson Mills,2019
Anna Czech,22:53.2,Grosse Pointe South,Hudson Mills,2019
Yael Chimovitz,22:55.0,Berkley,Hudson Mills,2019
Heather Woodward,23:08.9,Brighton,Hudson Mills,2019
Kelly Gavagan,23:09.8,Grosse Pointe South,Hudson Mills,2019
Megan O'Day,23:12.3,Dexter,Hudson Mills,2019
Maria Tischbeim,23:13.9,Grosse Pointe South,Hudson Mills,2019
Ava Carr,23:17.1,Grosse Pointe South,Hudson Mills,2019
Natalie Mulheron,23:21.9,Berkley,Hudson Mills,2019
Sophia Papadopoulos,23:25.8,Berkley,Hudson Mills,2019
Amanda Hubert,23:33.2,Dexter,Hudson Mills,2019
Jenny Hartman,23:35.1,South Lyon East,Hudson Mills,2019
Olivia Millen,18:30,Salem,Hudson Mills,2018
Reagan Justice,18:34,Salem,Hudson Mills,2018
Emma Murray,18:56,Berkley,Hudson Mills,2018
Martha Shomsky,19:04,Unattached,Hudson Mills,2018
Kiersten McBride,19:16,Salem,Hudson Mills,2018
Kenna Childress,19:24,Berkley,Hudson Mills,2018
Bridget Nelson,19:28,Salem,Hudson Mills,2018
Sara Michalik,19:31,Grosse Pointe North,Hudson Mills,2018
Hallie Younglas,19:37,Salem,Hudson Mills,2018
Tessa Voss,20:09,Berkley,Hudson Mills,2018
Gabrielle Mancini,20:21,Salem,Hudson Mills,2018
Emma Notaro,20:28,Brighton,Hudson Mills,2018
Rachel Fusik,20:43,Brighton,Hudson Mills,2018
Jackie Albo,20:56,Grosse Pointe North,Hudson Mills,2018
Michaela Cosgrove,20:58,Grosse Pointe North,Hudson Mills,2018
Katie Lucken,21:03,Beverly Hills Groves,Hudson Mills,2018
Sophia Chung,21:05,Beverly Hills Groves,Hudson Mills,2018
Charlotte Capuano,21:12,Berkley,Hudson Mills,2018
Sophie Wisbiski,21:12,Brighton,Hudson Mills,2018
Lyndsay Kluge,21:15,Grosse Pointe North,Hudson Mills,2018
Caroline Mrsan,21:24,Grosse Pointe North,Hudson Mills,2018
Rebecca Feber,21:25,Berkley,Hudson Mills,2018
Vivian Liagre,21:25,Grosse Pointe North,Hudson Mills,2018
Jessie Whitmer,21:29,Beverly Hills Groves,Hudson Mills,2018
Sarah Seagram,21:34,Grosse Pointe North,Hudson Mills,2018
Anna Lisa Lynch,21:38,Grosse Pointe North,Hudson Mills,2018
Ellie Stark,21:55,Brighton,Hudson Mills,2018
Megan Korch,21:56,Brighton,Hudson Mills,2018
Maya Hassan,21:57,Beverly Hills Groves,Hudson Mills,2018
Natalie Mulheron,22:10,Berkley,Hudson Mills,2018
Allison Shareck,22:13,Brighton,Hudson Mills,2018
Veronica Wirth,22:14,Berkley,Hudson Mills,2018
Elodie McLaughlin,22:19,Beverly Hills Groves,Hudson Mills,2018
Elise Essenmacher,22:25,Berkley,Hudson Mills,2018
Miya Bowman,22:29,Grosse Pointe South,Hudson Mills,2018
Annebella Joseph,22:32,Grosse Pointe South,Hudson Mills,2018
Erin Tremonti,22:36,Beverly Hills Groves,Hudson Mills,2018
Sabel Imesch,22:46,Grosse Pointe South,Hudson Mills,2018
Lily Mackrell,22:48,Grosse Pointe South,Hudson Mills,2018
Jenna Clark,22:51,Grosse Pointe South,Hudson Mills,2018
Grace Miller,22:56,Grosse Pointe South,Hudson Mills,2018
Maggie Frost,23:14,Grosse Pointe South,Hudson Mills,2018
Yael Chimovitz,23:35,Berkley,Hudson Mills,2018
Keller Kanat,23:39,Beverly Hills Groves,Hudson Mills,2018
Victoria Gardey,23:56,Grosse Pointe South,Hudson Mills,2018
Allison Vern,24:17:00,Grosse Pointe South,Hudson Mills,2018
Abby VanderKooi,16:59.1,Muskegon Western Mich. Christian,GR Riverside,2020
Arianne Olson,18:13.5,Holland West Ottawa,GR Riverside,2020
Jennie Line,18:22.7,Northville,GR Riverside,2020
Katie Carothers,18:38.3,Brighton,GR Riverside,2020
Yasmine Mansi,18:52.2,Northville,GR Riverside,2020
Lydia Alig,18:59.7,Saline,GR Riverside,2020
Sophie Bonnema,19:20.0,Holland West Ottawa,GR Riverside,2020
Madison Stern,19:20.2,Saline,GR Riverside,2020
Abby Bonnema,19:22.0,Holland West Ottawa,GR Riverside,2020
Abbie Haupt,19:25.6,Livonia Churchill,GR Riverside,2020
Laney Alig,19:28.2,Saline,GR Riverside,2020
Karissa Picard,19:32.4,Bay City Western,GR Riverside,2020
Madi Wood,19:36.3,Saline,GR Riverside,2020
Amelia Gouin,19:37.9,Shepherd,GR Riverside,2020
Emily Macina,19:41.9,Zeeland East,GR Riverside,2020
Carrigan Eberly,19:43.7,Brighton,GR Riverside,2020
Megan Postma,19:45.7,Holland West Ottawa,GR Riverside,2020
Amanda Simon,19:47.7,Brighton,GR Riverside,2020
Logan Brazee,19:49.4,Otsego,GR Riverside,2020
Janie DeGroot,19:52.2,Northville,GR Riverside,2020
Cassidy Jankens,19:53.0,Bay City Western,GR Riverside,2020
Madde Skeel,19:55.5,Shepherd,GR Riverside,2020
Ella Christensen,19:58.1,Northville,GR Riverside,2020
Claire Endres,19:59.0,Saline,GR Riverside,2020
Emily Gordon,20:00.4,Northville,GR Riverside,2020
Kaia Denhof,20:01.3,Holland West Ottawa,GR Riverside,2020
Aubrey Stager,20:02.9,Saline,GR Riverside,2020
Gina Couyoumjian,20:07.4,Northville,GR Riverside,2020
Lucy Woehlke,20:09.7,Saline,GR Riverside,2020
Carly Judge,20:10.5,Shepherd,GR Riverside,2020
Elizabeth Burrill,20:12.9,Otsego,GR Riverside,2020
Claudia Stachura,20:16.7,Otsego,GR Riverside,2020
Keira Courtney,20:19.4,Northville,GR Riverside,2020
Amelia Kashian,20:21.0,Brighton,GR Riverside,2020
Ellie Stark,20:21.5,Brighton,GR Riverside,2020
Nikki Carothers,20:29.5,Brighton,GR Riverside,2020
Ava Ignacio,20:33.3,Saline,GR Riverside,2020
Chelsea Glessner,20:33.3,Otsego,GR Riverside,2020
Ariel Warner,20:33.5,Shepherd,GR Riverside,2020
Lillian Reiner,20:34.7,Holland West Ottawa,GR Riverside,2020
Ambria Nagel,20:39.3,Bay City Western,GR Riverside,2020
Lilly Radcliffe,20:41.0,Otsego,GR Riverside,2020
Allison Kuzma,20:53.8,Zeeland East,GR Riverside,2020
Erica Slocum,21:03.5,Bay City Western,GR Riverside,2020
Elizabeth Ward,21:04.1,Bay City Western,GR Riverside,2020
Abby Green,21:18.4,Holland West Ottawa,GR Riverside,2020
Lilly Bailey,21:18.6,Shepherd,GR Riverside,2020
Mary Huizingh,21:24.5,Zeeland East,GR Riverside,2020
Morgan Crompton,21:31.9,Brighton,GR Riverside,2020
Karly Lynch,21:32.3,Brighton,GR Riverside,2020
Jolie Fisher,21:42.0,Shepherd,GR Riverside,2020
Avery Peters,21:42.3,Northville,GR Riverside,2020
Ashley Goodrich,21:45.8,Otsego,GR Riverside,2020
Carley Lynch,21:53.7,Shepherd,GR Riverside,2020
Kylie Fredenburg,21:54.2,Bay City Western,GR Riverside,2020
Emalee Postma,21:56.0,Zeeland East,GR Riverside,2020
Hayley Heinrich,21:57.4,Zeeland East,GR Riverside,2020
Molly Macina,22:09.0,Zeeland East,GR Riverside,2020
Brooklynn Badders,22:17.4,Otsego,GR Riverside,2020
Addie Grill,22:26.3,Zeeland East,GR Riverside,2020
Mckenzie Richards,22:31.1,Bay City Western,GR Riverside,2020
Hannah Lewis,22:43.5,Zeeland East,GR Riverside,2020
Emily Deming,23:27.9,Shepherd,GR Riverside,2020
Zofia Dudek,17:00.4,Ann Arbor Pioneer,MIS,2019
Arianne Olson,17:53.0,Holland West Ottawa,MIS,2019
Julia Flynn,17:59.3,Traverse City Central,MIS,2019
Madi Wood,18:02.4,Saline,MIS,2019
Audrey DaDamio,18:08.7,Birmingham Seaholm,MIS,2019
Mia Patria,18:10.1,Clarkston,MIS,2019
Elizabeth Babcock,18:10.7,Novi,MIS,2019
Alexa Keiser,18:13.1,Fenton,MIS,2019
Sarah Forsyth,18:14.4,Ann Arbor Pioneer,MIS,2019
Maryam Sheena,18:14.6,Walled Lake Western,MIS,2019
Lauren Kiley,18:14.8,Plymouth,MIS,2019
Madison Ebright,18:15.7,GR_Ottawa Hills,MIS,2019
Sophie Novak,18:16.5,Lake Orion,MIS,2019
Abbie Draheim,18:20.4,East Lansing,MIS,2019
Leah Socks,18:23.8,Traverse City Central,MIS,2019
Abby Olson,18:23.9,Holland West Ottawa,MIS,2019
Avery McLean,18:24.4,Traverse City Central,MIS,2019
Londyn Swenson,18:24.6,Plymouth,MIS,2019
Yasmine Mansi,18:26.8,Northville,MIS,2019
Adit Dau,18:27.1,GR_Ottawa Hills,MIS,2019
Allison Cornell,18:27.5,FHN GR_Forest Hills Northern,MIS,2019
Katie Carothers,18:27.9,Brighton,MIS,2019
Whitney Currie,18:30.8,FHC GR_Forest Hills Central,MIS,2019
Madelyn Malczewski,18:32.3,Romeo,MIS,2019
Ellie Voetberg,18:33.2,Portage Central,MIS,2019
Elsa Rusthoven,18:34.8,DeWitt,MIS,2019
Kaitlyn Hynes,18:34.8,DeWitt,MIS,2019
Maya Guikema,18:36.7,Jenison,MIS,2019
Abbie Haupt,18:37.8,Livonia Churchill,MIS,2019
Paige Anderson,18:45.4,Troy,MIS,2019
Lindsey Peters,18:48.5,Caledonia,MIS,2019
Cookie Baugh,18:50.2,Ann Arbor Pioneer,MIS,2019
Morgan Crompton,18:54.1,Brighton,MIS,2019
Chloe Wall,18:55.0,Waterford Kettering,MIS,2019
Emily Gordon,18:59.4,Northville,MIS,2019
Anna Vogel,19:01.2,Ann Arbor Pioneer,MIS,2019
Andrea Ruiz,19:02.0,Holly,MIS,2019
Ashlyn Nagel,19:03.6,Bay City Western,MIS,2019
Charlotte Batra,19:07.9,Ann Arbor Pioneer,MIS,2019
Marin Stevens,19:09.5,Bay City Western,MIS,2019
Briana Vojinov,19:10.9,Brownstown Woodhaven,MIS,2019
Aiden Grasse,19:11.5,Holt,MIS,2019
Brooke Soper,19:11.6,Okemos,MIS,2019
Olivia Millen,19:12.0,Salem,MIS,2019
Madylin McLean,19:12.6,Traverse City Central,MIS,2019
Emma Netzel,19:13.6,Holt,MIS,2019
Sarah Sheena,19:14.1,Walled Lake Western,MIS,2019
Nicole Dillmann,19:14.5,Saline,MIS,2019
Mattie Drennan,19:15.8,Clarkston,MIS,2019
Ella Schnell,19:17.7,Kalamazoo Loy Norrix,MIS,2019
Camryn Remick,19:19.5,Rochester,MIS,2019
Claudia TenElshof,19:21.0,Jenison,MIS,2019
Sophia Lirio,19:21.3,Hudsonville,MIS,2019
Emma Banning,19:22.4,Saginaw Heritage,MIS,2019
Marissa Henry,19:23.4,Salem,MIS,2019
Madison Clor,19:24.0,Romeo,MIS,2019
Laura O'Brien,19:24.9,Ann Arbor Skyline,MIS,2019
Anna Dudek,19:25.0,Ann Arbor Pioneer,MIS,2019
Jenna Picard,19:25.0,Bay City Western,MIS,2019
Isabell Kulick,19:25.1,Salem,MIS,2019
Lauryn Hoover,19:25.9,Grand Blanc,MIS,2019
Katie Dietrich,19:26.2,Brownstown Woodhaven,MIS,2019
Liliane Aittama,19:26.6,South Lyon East,MIS,2019
Jocelyn Hendricks,19:26.9,GR_Northview,MIS,2019
Bailey Ewen,19:27.6,Rockford,MIS,2019
Charlotte Gullion,19:27.8,Troy,MIS,2019
Rachel Felstow,19:28.1,Romeo,MIS,2019
Amanda Simon,19:28.2,Brighton,MIS,2019
Elliott Smith,19:29.0,Traverse City West,MIS,2019
Samantha Cost,19:29.3,Wyandotte Roosevelt,MIS,2019
Sophia Thomas,19:30.5,Grand Blanc,MIS,2019
Emily Wade,19:30.6,Walled Lake Central,MIS,2019
Cassidy Jankens,19:31.2,Bay City Western,MIS,2019
Madison Stern,19:31.3,Saline,MIS,2019
Amelia Kashian,19:32.0,Brighton,MIS,2019
Mackenzie Wright,19:32.6,Howell,MIS,2019
Naomi Dykstra,19:32.8,GR_Ottawa Hills,MIS,2019
Cara Newman,19:32.8,Canton,MIS,2019
Claire Endres,19:33.3,Saline,MIS,2019
Ally Betkey,19:34.3,Temperance Bedford,MIS,2019
Sam Hastie,19:35.1,Ann Arbor Huron,MIS,2019
Lisa Luecke,19:35.5,Allen Park,MIS,2019
Sydney Tran,19:35.6,FHN GR_Forest Hills Northern,MIS,2019
Ella Woehlke,19:37.0,Saline,MIS,2019
Jessica Schamanek,19:37.0,Rochester Hills Stoney Creek,MIS,2019
Lucy Groothuis,19:38.6,Holland West Ottawa,MIS,2019
Kellen Fife,19:39.1,Bloomfield Hills,MIS,2019
Sophia Potter,19:39.4,Waterford Kettering,MIS,2019
Keira Courtney,19:40.4,Northville,MIS,2019
Grace Harkenrider,19:40.6,Highland-Milford,MIS,2019
Lauren Garbovits,19:41.4,White Lake Lakeland,MIS,2019
Alison Hankins,19:41.6,Traverse City Central,MIS,2019
Anna Delgado,19:41.9,East Lansing,MIS,2019
Avery Zeinstra,19:42.4,Byron Center,MIS,2019
Amanda Soldan,19:44.0,Rochester Adams,MIS,2019
Erin Swartz,19:44.9,Troy Athens,MIS,2019
Samantha Shaw,19:45.0,Howell,MIS,2019
Isabella Johnson,19:46.9,Temperance Bedford,MIS,2019
Dallas Ruelan,19:47.2,Flushing,MIS,2019
Grace Fletter,19:47.3,FHN GR_Forest Hills Northern,MIS,2019
Onivas Tupa,19:47.8,Northville,MIS,2019
Kathleen Venhuizen,19:48.6,Traverse City Central,MIS,2019
Katherine Bergman,19:48.9,Farmington,MIS,2019
Nicole Marco,19:48.9,FHC GR_Forest Hills Central,MIS,2019
Elaina Rondeau,19:49.7,Troy,MIS,2019
Kiera Snyder,19:50.0,Port Huron Northern,MIS,2019
Sarah Greb,19:50.7,Romeo,MIS,2019
Sophia Grant,19:51.4,Dexter,MIS,2019
Lauren Methner,19:52.8,Oxford,MIS,2019
Caitlin Henning,19:53.0,Troy,MIS,2019
Riley Mullen,19:53.3,St. Joseph,MIS,2019
Chloe Nixon,19:53.4,Rochester,MIS,2019
Lola Thomas,19:54.4,Grand Blanc,MIS,2019
Hannah Tsiang,19:55.5,Brighton,MIS,2019
Elise Wilhelm,19:57.0,Clarkston,MIS,2019
Holly Bowling,19:57.1,Caledonia,MIS,2019
Lily Solek,19:57.9,Rochester Hills Stoney Creek,MIS,2019
Kylie Eaton,20:00.0,Davison,MIS,2019
Karly Lynch,20:00.6,Brighton,MIS,2019
Megan Postma,20:00.8,Holland West Ottawa,MIS,2019
Olivia Masse,20:01.0,Northville,MIS,2019
Alyssa Dorn,20:01.2,Temperance Bedford,MIS,2019
Jessica Harney,20:01.5,Rockford,MIS,2019
Jacie Remtema,20:02.1,Highland-Milford,MIS,2019
Karissa Picard,20:03.4,Bay City Western,MIS,2019
Elaina Schwendenmann,20:03.6,Highland-Milford,MIS,2019
Maggie Kinzer,20:04.6,Okemos,MIS,2019
Emily Grob,20:04.8,Fenton,MIS,2019
Elise VanStensel,20:05.3,Rockford,MIS,2019
Kathleen Hummer,20:06.5,Byron Center,MIS,2019
Shelby Jenkins,20:06.7,Bloomfield Hills,MIS,2019
Taylor Huntoon,20:07.5,Fenton,MIS,2019
Olivia Kochevar,20:07.9,Walled Lake Central,MIS,2019
Makayla Orner,20:08.0,Temperance Bedford,MIS,2019
Ashley Winger,20:08.5,Jenison,MIS,2019
Ellen Gerhard,20:08.8,Traverse City Central,MIS,2019
Gina Couyoumjian,20:08.8,Northville,MIS,2019
Emma Flanders,20:09.1,Rockford,MIS,2019
Emily Esker,20:09.2,Livonia Franklin,MIS,2019
Sarah Nondorf,20:09.4,Mattawan,MIS,2019
Megan Churm,20:09.5,H.H. Dow,MIS,2019
Jennie Line,20:09.6,Northville,MIS,2019
Annalee Misch,20:09.6,Utica Eisenhower,MIS,2019
Kate Huthwaite,20:10.5,Rochester Hills Stoney Creek,MIS,2019
Lexi Deighan,20:11.1,Birmingham Seaholm,MIS,2019
Savanna Coulter,20:11.6,Caledonia,MIS,2019
Kaitlin Bayer,20:12.1,Fenton,MIS,2019
Lillian Reiner,20:12.4,Holland West Ottawa,MIS,2019
Danielle Armstrong,20:13.5,Ann Arbor Pioneer,MIS,2019
Thea Schley,20:15.1,Canton,MIS,2019
Aileen Liu,20:16.2,Troy,MIS,2019
Abby Bonnema,20:16.5,Holland West Ottawa,MIS,2019
Haley Greene,20:16.7,Saline,MIS,2019
Madison Foster,20:17.5,Temperance Bedford,MIS,2019
Cora Kolodge,20:17.7,New Baltimore Anchor Bay,MIS,2019
Kendall Cuson,20:18.0,Bloomfield Hills,MIS,2019
Emma Bowen,20:18.8,Sterling Heights Stevenson,MIS,2019
Isabelle Fairless,20:19.6,Royal Oak,MIS,2019
Jenna Allman,20:20.1,Saline,MIS,2019
Tatum Verburg,20:20.1,Caledonia,MIS,2019
Sydney Dec,20:20.7,Temperance Bedford,MIS,2019
Kaitlynn Robotham,20:21.3,Caledonia,MIS,2019
Emily Reeves,20:21.5,Mattawan,MIS,2019
Lily Strelecki,20:22.1,Jenison,MIS,2019
Ella Fullmer,20:22.7,Utica,MIS,2019
Katie Lundquist,20:22.9,Rochester Adams,MIS,2019
Kennedy Kuhlmann,20:23.9,Grand Blanc,MIS,2019
Anna Tracey,20:25.0,Rockford,MIS,2019
Haley Deighan,20:25.1,Birmingham Seaholm,MIS,2019
Genavieve Kushner-Lopez,20:25.2,Walled Lake Western,MIS,2019
Kate Meinecke,20:26.6,Royal Oak,MIS,2019
Liv Urbano,20:27.3,Rochester Adams,MIS,2019
Emily Laird,20:27.8,Holland West Ottawa,MIS,2019
Ally Soldan,20:28.1,Rochester Adams,MIS,2019
Emily Endebrock,20:29.9,Howell,MIS,2019
Paige Cristea,20:30.6,Plymouth,MIS,2019
Ellie Stark,20:33.7,Brighton,MIS,2019
Lydia Minzey,20:34.0,Grand Blanc,MIS,2019
Barret Schettler,20:34.4,Romeo,MIS,2019
Mackenzie Montigano,20:36.3,Clarkston,MIS,2019
Elyssa Biederman,20:36.7,Beverly Hills Groves,MIS,2019
Emma Collison,20:37.5,Highland-Milford,MIS,2019
Erin DiMarzo,20:37.7,Bloomfield Hills,MIS,2019
Mariella Ma,20:37.9,Plymouth,MIS,2019
Brooklyn Wolcott,20:38.0,Highland-Milford,MIS,2019
Jessica Pennala,20:38.3,Howell,MIS,2019
Lexi Beckeman,20:39.5,Birmingham Seaholm,MIS,2019
Kiersten McBride,20:39.8,Salem,MIS,2019
Isabella Rhee,20:40.1,H.H. Dow,MIS,2019
Alex Beal,20:40.2,Okemos,MIS,2019
Nora Hoekert,20:41.2,Rockford,MIS,2019
Grace Jenkins,20:41.4,Bloomfield Hills,MIS,2019
Amanda Felstow,20:42.5,Romeo,MIS,2019
Kayley Porter,20:43.0,FHN GR_Forest Hills Northern,MIS,2019
Sarah Ross,20:43.5,Romeo,MIS,2019
Lucy Potts,20:45.5,Sterling Heights Stevenson,MIS,2019
Anvita Kakumanu,20:46.4,Troy Athens,MIS,2019
Jessica Adams,20:47.6,Fenton,MIS,2019
Gwen McGuire,20:48.1,Birmingham Seaholm,MIS,2019
Lindsay Ripple,20:48.3,Plymouth,MIS,2019
Brooke Bernier,20:48.6,FHN GR_Forest Hills Northern,MIS,2019
Rebekah Asselin,20:49.4,Temperance Bedford,MIS,2019
Victoria Pargoff,20:49.4,Howell,MIS,2019
Maya Bergman,20:49.9,Clarkston,MIS,2019
Sarah Halliday,20:50.0,Howell,MIS,2019
Tori Vander Veen,20:50.7,Jenison,MIS,2019
Maggie Otto,20:51.2,Jenison,MIS,2019
Hailey Fike,20:51.6,Rockford,MIS,2019
Natalia Quigley,20:53.4,Caledonia,MIS,2019
Erin Trombly,20:53.9,Plymouth,MIS,2019
Samantha Yamin,20:55.0,Bloomfield Hills,MIS,2019
Megan Ko,20:55.8,Rochester Hills Stoney Creek,MIS,2019
Brooke Myers,21:01.2,FHN GR_Forest Hills Northern,MIS,2019
Jackie Albo,21:01.5,Grosse Pointe North,MIS,2019
Sofia Klimczak,21:02.4,Rochester Hills Stoney Creek,MIS,2019
Amelia Drahnak,21:02.4,Rochester Adams,MIS,2019
Kelsey Francis,21:03.5,Rochester Adams,MIS,2019
Nicole Morehouse,21:04.7,Royal Oak,MIS,2019
Mady Grant,21:05.0,Okemos,MIS,2019
Cate Cotter,21:05.2,Clarkston,MIS,2019
Rebekah Wilson,21:05.5,Clarkston,MIS,2019
Anna Dood,21:06.8,FHN GR_Forest Hills Northern,MIS,2019
Sasha Fox,21:09.1,Plymouth,MIS,2019
Lauren Monaghan,21:09.5,Troy,MIS,2019
Leah Merriam,21:09.6,Highland-Milford,MIS,2019
Saffron James,21:10.1,Royal Oak,MIS,2019
Faith Huff,21:11.8,Howell,MIS,2019
Sal Bubolz,21:12.9,Okemos,MIS,2019
Elizabeth MacLellan,21:14.2,Salem,MIS,2019
Avery Logan,21:14.5,Fenton,MIS,2019
Amanda Palmer,21:15.9,Sterling Heights Stevenson,MIS,2019
Ambria Nagel,21:17.0,Bay City Western,MIS,2019
Erica Slocum,21:17.2,Bay City Western,MIS,2019
Jane Barnett,21:19.2,Royal Oak,MIS,2019
Kate Jenkins,21:21.3,Bloomfield Hills,MIS,2019
Jacklyn Tedesco,21:21.6,Rochester Hills Stoney Creek,MIS,2019
Kierra Ryan,21:22.5,Fenton,MIS,2019
Erin Snyder,21:28.1,Royal Oak,MIS,2019
Grace Landon,21:28.2,Salem,MIS,2019
Corinne DiFalco,21:29.2,Royal Oak,MIS,2019
Haley Smith,21:32.6,Rochester Adams,MIS,2019
Barbara DeGood,21:36.3,Caledonia,MIS,2019
Rachael Barone,21:36.4,Jenison,MIS,2019
Jade Burnett,21:44.1,Sterling Heights Stevenson,MIS,2019
Abby Siddall,21:46.9,Salem,MIS,2019
Amanda Smith,21:48.8,Birmingham Seaholm,MIS,2019
Maisie Konwinski,21:51.5,Troy,MIS,2019
Susie Pompi,21:51.8,Birmingham Seaholm,MIS,2019
Sydney Stephens,21:52.7,Okemos,MIS,2019
Megan Kennedy,21:54.4,Rochester Hills Stoney Creek,MIS,2019
Maya Youngs,22:01.1,Grand Blanc,MIS,2019
Elise Elliot,22:10.6,Highland-Milford,MIS,2019
Samantha Lange,22:35.6,Grand Blanc,MIS,2019
Lindsey Korb,22:36.9,Okemos,MIS,2019
Ericka VanderLende,17:08.4,Rockford,MIS,2018
Kyla Christopher-Moody,17:58.6,West Bloomfield,MIS,2018
Zofia Dudek,17:59.8,Ann Arbor Pioneer,MIS,2018
Madeline Rehm,18:00.0,White Lake Lakeland,MIS,2018
Sophie Novak,18:01.9,Lake Orion,MIS,2018
Ashlyn Nagel,18:06.6,Bay City Western,MIS,2018
Victoria Heiligenthal,18:06.9,Highland-Milford,MIS,2018
Gabby Hentemann,18:07.3,Grand Haven,MIS,2018
Noelle Adriaens,18:08.1,Pinckney,MIS,2018
Julia Flynn,18:09.1,Traverse City Central,MIS,2018
Audrey DaDamio,18:09.3,Birmingham Seaholm,MIS,2018
Abby Inch,18:10.9,Farmington,MIS,2018
Samantha Tran,18:11.0,FHN GR_Forest Hills Northern,MIS,2018
Rylee Robinson,18:12.5,Waterford Mott,MIS,2018
Mia Patria,18:13.3,Clarkston,MIS,2018
Grace Nolan,18:15.8,Clarkston,MIS,2018
Adit Dau,18:24.1,GR_Ottawa Hills,MIS,2018
Alexa Keiser,18:28.7,Fenton,MIS,2018
Maryam Sheena,18:29.2,Walled Lake Western,MIS,2018
Lauren Kiley,18:32.1,Plymouth,MIS,2018
Vivi Eddings,18:32.9,Pinckney,MIS,2018
Emma Everhart - Deckard,18:33.0,Rockford,MIS,2018
Hannah Smith,18:35.6,Traverse City West,MIS,2018
Maddy Boyd,18:38.6,Alpena,MIS,2018
Caitlin Rose,18:41.8,Grand Blanc,MIS,2018
Sarah Forsyth,18:42.3,Ann Arbor Pioneer,MIS,2018
Anastasia Tucker,18:42.4,H.H. Dow,MIS,2018
Kayla Fortino,18:43.3,Saline,MIS,2018
Nicole Cybul,18:43.8,Northville,MIS,2018
Emily Gordon,18:43.9,Northville,MIS,2018
Allison Sherman,18:44.4,Lake Orion,MIS,2018
Andrea Ruiz,18:45.1,Holly,MIS,2018
Madison Ebright,18:46.5,GR_Ottawa Hills,MIS,2018
Madi Wood,18:49.6,Saline,MIS,2018
Jocelyn Hendricks,18:50.4,GR_Northview,MIS,2018
Reagan Justice,18:52.0,Salem,MIS,2018
Elizabeth Bulat,18:53.7,Rochester,MIS,2018
Ellie Reynolds,18:55.0,Flushing,MIS,2018
Anna Vogel,18:55.9,Ann Arbor Pioneer,MIS,2018
Elizabeth Dalrymple,18:58.1,Clarkston,MIS,2018
Avery McLean,18:58.7,Traverse City Central,MIS,2018
Abby Olson,18:59.4,Holland West Ottawa,MIS,2018
Londyn Swenson,19:00.7,Plymouth,MIS,2018
Courtney Jarema,19:01.5,Pinckney,MIS,2018
Isabella Johnson,19:03.2,Temperance Bedford,MIS,2018
Olivia Millen,19:04.3,Salem,MIS,2018
Rylee Lukes,19:04.5,White Lake Lakeland,MIS,2018
Lauren Fulcher,19:04.9,Troy,MIS,2018
Emma Woltjer,19:05.6,Caledonia,MIS,2018
Shelby Jenkins,19:05.8,Bloomfield Hills,MIS,2018
Devon Krasner,19:06.7,Grosse Pointe South,MIS,2018
Charlotte Batra,19:06.9,Ann Arbor Pioneer,MIS,2018
Thea Schley,19:07.6,Canton,MIS,2018
Katherine Ray,19:09.0,Novi,MIS,2018
Thailyia Christensen,19:09.8,Flushing,MIS,2018
Madelyn Malczewski,19:09.8,Romeo,MIS,2018
Peyton Witt,19:10.5,Portage Northern,MIS,2018
Aiden Grasse,19:11.5,Holt,MIS,2018
Mallory Ferguson,19:11.9,Clarkston,MIS,2018
Mattie Drennan,19:12.3,Clarkston,MIS,2018
Grace Buckland,19:13.5,Grand Ledge,MIS,2018
Laura O'Brien,19:13.7,Ann Arbor Skyline,MIS,2018
Elise Gray,19:15.3,Hudsonville,MIS,2018
Sydney Nesbitt,19:16.0,Bay City Western,MIS,2018
Jenna Picard,19:16.7,Bay City Western,MIS,2018
Madi Szymanski,19:17.3,Alpena,MIS,2018
Paige Saiz,19:18.9,Highland-Milford,MIS,2018
Marin Stevens,19:20.0,Bay City Western,MIS,2018
Addison Swanson,19:20.5,Traverse City Central,MIS,2018
Charlene Yarema,19:20.5,Romeo,MIS,2018
Taylor Visscher,19:20.6,Caledonia,MIS,2018
Emily Ferguson,19:21.0,Clarkston,MIS,2018
Mady VanWieren,19:22.4,Holland West Ottawa,MIS,2018
Kellen Fife,19:22.5,Bloomfield Hills,MIS,2018
Mia Garcia,19:24.0,Pinckney,MIS,2018
Chloe Wall,19:24.6,Waterford Kettering,MIS,2018
Morgan Lyon,19:24.9,Traverse City West,MIS,2018
Cambria Tiemann,19:25.3,Fenton,MIS,2018
Leah Socks,19:25.9,Traverse City Central,MIS,2018
Abbey Lee,19:26.3,Fenton,MIS,2018
Kate Jenkins,19:26.9,Bloomfield Hills,MIS,2018
Keira Courtney,19:26.9,Northville,MIS,2018
Nicole Dillmann,19:28.0,Saline,MIS,2018
Elliott Smith,19:28.5,Traverse City West,MIS,2018
Kaitlin Bayer,19:28.7,Fenton,MIS,2018
Cora Kolodge,19:29.5,New Baltimore Anchor Bay,MIS,2018
Madison Stern,19:30.6,Saline,MIS,2018
Kenna Childress,19:30.7,Berkley,MIS,2018
Savannah Sipley,19:32.0,Davison,MIS,2018
Mallory Dawes,19:32.3,Ann Arbor Pioneer,MIS,2018
Brooke Soper,19:32.6,Okemos,MIS,2018
Kate Huthwaite,19:32.8,Rochester Hills Stoney Creek,MIS,2018
